Name;Console;ID
Acid-Drop;Atari2600;90602
Action-Man-Action-Force;Atari2600;90603
Activision-Decathlon-The;Atari2600;90606
Adventure;Atari2600;90609
Air-Raiders;Atari2600;90613
Air-Sea-Battle;Atari2600;90614
Airlock;Atari2600;90618
Aliens-Return;Atari2600;90622
Alpha-Beam-with-Ernie;Atari2600;90627
Amidar;Atari2600;90629
Armor-Ambush;Atari2600;90635
Artillery-Duel;Atari2600;90637
Asteroids;Atari2600;90640
Astroblast;Atari2600;90643
Atari-Video-Cube--Atari-Anthology-;Atari2600;90646
Atlantis;Atari2600;90648
Backgammon;Atari2600;90654
Bank-Heist;Atari2600;90656
Barnstorming;Atari2600;90658
Base-Attack;Atari2600;90660
Basic-Math;Atari2600;90663
BASIC-Programming;Atari2600;90665
Basketball;Atari2600;90667
Battlezone;Atari2600;90669
Beamrider;Atari2600;90673
BeatEm-&-EatEm;Atari2600;90677
Bermuda-Triangle;Atari2600;90681
Berzerk;Atari2600;90683
Berzerk--Enhanced-Edition-;Atari2600;92411
Big-Birds-Egg-Catch;Atari2600;90686
Black-Jack;Atari2600;90693
Blueprint;Atari2600;90696
BMX-Air-Master;Atari2600;90699
Bobby-Is-Going-Home;Atari2600;90701
Boing!;Atari2600;90708
Bowling;Atari2600;90711
Boxing;Atari2600;90714
Brain-Games;Atari2600;90717
Breakout;Atari2600;90718
Bridge;Atari2600;90721
Buck-Rogers-Planet-of-Zoom;Atari2600;90723
Bugs;Atari2600;90725
Bump-n-Jump;Atari2600;90728
Bumper-Bash;Atari2600;90730
Burning-Desire;Atari2600;90733
Cakewalk;Atari2600;90736
California-Games;Atari2600;90738
Carnival;Atari2600;90742
Casino;Atari2600;90743
Centipede;Atari2600;90748
Challenge-of....-NEXAR-The;Atari2600;90752
Championship-Soccer;Atari2600;90753
China-Syndrome;Atari2600;90758
Chopper-Command;Atari2600;90760
Circus-Atari;Atari2600;90763
Codebreaker;Atari2600;90766
Combat;Atari2600;90771
Combat--Atari-Anthology-;Atari2600;90772
